08/08/2021 00:46:55|INFO    |root                            |BAZARR Finished searching for missing Series Subtitles. Check History for more information.|
08/08/2021 01:31:14|WARNING |urllib3.connectionpool          |Retrying (Retry(total=8, connect=3, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107ad7ab80>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:31:22|WARNING |urllib3.connectionpool          |Retrying (Retry(total=7, connect=2, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107c1fd8b0>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:31:39|WARNING |urllib3.connectionpool          |Retrying (Retry(total=6, connect=1, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107c2dabb0>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:32:11|WARNING |urllib3.connectionpool          |Retrying (Retry(total=5, connect=0, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107c2da8e0>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:32:11|WARNING |retry.api                       |HTTPConnectionPool(host='s4.api.bsplayer-subtitles.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107c2da7c0>: Failed to establish a new connection: [Errno 111] Connection refused')), retrying in 5 seconds...|
08/08/2021 01:32:16|WARNING |urllib3.connectionpool          |Retrying (Retry(total=9, connect=4, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107c1fd2b0>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:32:21|WARNING |urllib3.connectionpool          |Retrying (Retry(total=8, connect=3, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107c1fd700>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:32:29|WARNING |urllib3.connectionpool          |Retrying (Retry(total=7, connect=2, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107c1fdf10>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:32:45|WARNING |urllib3.connectionpool          |Retrying (Retry(total=6, connect=1, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107c1fd850>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:33:17|WARNING |urllib3.connectionpool          |Retrying (Retry(total=5, connect=0, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107c1fd1c0>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:33:18|WARNING |retry.api                       |HTTPConnectionPool(host='s4.api.bsplayer-subtitles.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107aeb09a0>: Failed to establish a new connection: [Errno 111] Connection refused')), retrying in 5 seconds...|
08/08/2021 01:33:23|WARNING |urllib3.connectionpool          |Retrying (Retry(total=9, connect=4, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107aeb0b80>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:33:27|WARNING |urllib3.connectionpool          |Retrying (Retry(total=8, connect=3, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107aeb0790>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:33:35|WARNING |urllib3.connectionpool          |Retrying (Retry(total=7, connect=2, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107aeb0580>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:33:52|WARNING |urllib3.connectionpool          |Retrying (Retry(total=6, connect=1, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107aeb0880>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:34:24|WARNING |urllib3.connectionpool          |Retrying (Retry(total=5, connect=0, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107c2da400>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:34:24|WARNING |urllib3.connectionpool          |Retrying (Retry(total=9, connect=4, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107c1fd220>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:34:28|WARNING |urllib3.connectionpool          |Retrying (Retry(total=8, connect=3, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107c1fdfa0>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:34:37|WARNING |urllib3.connectionpool          |Retrying (Retry(total=7, connect=2, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107c1fd070>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:34:53|WARNING |urllib3.connectionpool          |Retrying (Retry(total=6, connect=1, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107c1fd250>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:35:25|WARNING |urllib3.connectionpool          |Retrying (Retry(total=5, connect=0, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107c1fd7f0>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:35:25|WARNING |retry.api                       |HTTPConnectionPool(host='s8.api.bsplayer-subtitles.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107c2da250>: Failed to establish a new connection: [Errno 111] Connection refused')), retrying in 5 seconds...|
08/08/2021 01:35:31|WARNING |urllib3.connectionpool          |Retrying (Retry(total=9, connect=4, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107ae72160>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:35:35|WARNING |urllib3.connectionpool          |Retrying (Retry(total=8, connect=3, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107ae72970>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:35:43|WARNING |urllib3.connectionpool          |Retrying (Retry(total=7, connect=2, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107ae72dc0>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:35:59|WARNING |urllib3.connectionpool          |Retrying (Retry(total=6, connect=1, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107ae72fd0>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:36:32|WARNING |urllib3.connectionpool          |Retrying (Retry(total=5, connect=0, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107ae720d0>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:36:32|WARNING |retry.api                       |HTTPConnectionPool(host='s8.api.bsplayer-subtitles.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107ae72c10>: Failed to establish a new connection: [Errno 111] Connection refused')), retrying in 5 seconds...|
08/08/2021 01:36:37|WARNING |urllib3.connectionpool          |Retrying (Retry(total=9, connect=4, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107ae72400>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:36:41|WARNING |urllib3.connectionpool          |Retrying (Retry(total=8, connect=3, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107c2daaf0>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:36:49|WARNING |urllib3.connectionpool          |Retrying (Retry(total=7, connect=2, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107c2da9d0>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:37:06|WARNING |urllib3.connectionpool          |Retrying (Retry(total=6, connect=1, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107aeb8a00>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:37:38|WARNING |urllib3.connectionpool          |Retrying (Retry(total=5, connect=0, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107c1fd2b0>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:37:38|WARNING |urllib3.connectionpool          |Retrying (Retry(total=9, connect=4, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107c1fdb50>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:37:43|WARNING |urllib3.connectionpool          |Retrying (Retry(total=8, connect=3, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107aeb0dc0>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:37:51|WARNING |urllib3.connectionpool          |Retrying (Retry(total=7, connect=2, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107ae72640>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:38:07|WARNING |urllib3.connectionpool          |Retrying (Retry(total=6, connect=1, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107ae72c10>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:38:39|WARNING |urllib3.connectionpool          |Retrying (Retry(total=5, connect=0, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107ae72520>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:38:40|WARNING |retry.api                       |HTTPConnectionPool(host='s102.api.bsplayer-subtitles.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107ae72250>: Failed to establish a new connection: [Errno 111] Connection refused')), retrying in 5 seconds...|
08/08/2021 01:38:45|WARNING |urllib3.connectionpool          |Retrying (Retry(total=9, connect=4, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107ac43580>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:38:49|WARNING |urllib3.connectionpool          |Retrying (Retry(total=8, connect=3, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107ac43790>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:38:57|WARNING |urllib3.connectionpool          |Retrying (Retry(total=7, connect=2, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107ac43af0>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:39:14|WARNING |urllib3.connectionpool          |Retrying (Retry(total=6, connect=1, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107ac43910>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:39:46|WARNING |urllib3.connectionpool          |Retrying (Retry(total=5, connect=0, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107c1fd940>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:39:46|WARNING |retry.api                       |HTTPConnectionPool(host='s102.api.bsplayer-subtitles.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107c1fdee0>: Failed to establish a new connection: [Errno 111] Connection refused')), retrying in 5 seconds...|
08/08/2021 01:39:51|WARNING |urllib3.connectionpool          |Retrying (Retry(total=9, connect=4, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107c1fd340>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:39:55|WARNING |urllib3.connectionpool          |Retrying (Retry(total=8, connect=3, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107c1fd4c0>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:40:04|WARNING |urllib3.connectionpool          |Retrying (Retry(total=7, connect=2, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107ae72790>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:40:20|WARNING |urllib3.connectionpool          |Retrying (Retry(total=6, connect=1, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107ae72910>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:40:52|WARNING |urllib3.connectionpool          |Retrying (Retry(total=5, connect=0, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107ae72c10>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:41:04|WARNING |urllib3.connectionpool          |Retrying (Retry(total=9, connect=4, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107cd11910>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:41:04|INFO    |root                            |Throttling opensubtitlescom for 10 minutes, until 21/08/08 01:51, because of: ProviderError. Exception info: 'Backend fetch failed'|
08/08/2021 01:41:08|WARNING |urllib3.connectionpool          |Retrying (Retry(total=8, connect=3, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107ad92910>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:41:16|WARNING |urllib3.connectionpool          |Retrying (Retry(total=7, connect=2, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107ab69d90>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:41:32|WARNING |urllib3.connectionpool          |Retrying (Retry(total=6, connect=1, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107ab69b50>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:42:05|WARNING |urllib3.connectionpool          |Retrying (Retry(total=5, connect=0, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107ab6f490>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:42:05|WARNING |retry.api                       |HTTPConnectionPool(host='s101.api.bsplayer-subtitles.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107ab6f4f0>: Failed to establish a new connection: [Errno 111] Connection refused')), retrying in 5 seconds...|
08/08/2021 01:42:10|WARNING |urllib3.connectionpool          |Retrying (Retry(total=9, connect=4, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107ab69b20>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:42:14|WARNING |urllib3.connectionpool          |Retrying (Retry(total=8, connect=3, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107ab60e80>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:42:23|WARNING |urllib3.connectionpool          |Retrying (Retry(total=7, connect=2, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107ab60d00>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:42:39|WARNING |urllib3.connectionpool          |Retrying (Retry(total=6, connect=1, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107ab608e0>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:43:11|WARNING |urllib3.connectionpool          |Retrying (Retry(total=5, connect=0, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107ab60a90>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:43:11|WARNING |retry.api                       |HTTPConnectionPool(host='s101.api.bsplayer-subtitles.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107ab607f0>: Failed to establish a new connection: [Errno 111] Connection refused')), retrying in 5 seconds...|
08/08/2021 01:43:16|WARNING |urllib3.connectionpool          |Retrying (Retry(total=9, connect=4, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107ab603d0>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:43:21|WARNING |urllib3.connectionpool          |Retrying (Retry(total=8, connect=3, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107ab60100>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:43:29|WARNING |urllib3.connectionpool          |Retrying (Retry(total=7, connect=2, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107ab60700>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:43:45|WARNING |urllib3.connectionpool          |Retrying (Retry(total=6, connect=1, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107ab6f2e0>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
